Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge
moi,Succinyl CoA,C25H40N7O19P3S,[M+H]+,1,868.1385303,1
moi,Succinyl CoA,C25H40N7O19P3S,[M+Na]+,1,890.1204723,1
moi,Succinyl CoA,C25H40N7O19P3S,[M+NH4]+,1,885.1650773,1
moi,Succinyl CoA,C25H40N7O19P3S,[M-H]-,-1,866.1239783,-1
moi,Succinyl CoA,C25H40N7O19P3S,[M+Na-2H]-,-1,888.1059203,-1
moi,Succinate,C4H6O4,[M+H]+,1,119.0338847,1
moi,Succinate,C4H6O4,[M+Na]+,1,141.0158267,1
moi,Succinate,C4H6O4,[M+NH4]+,1,136.0604317,1
moi,Succinate,C4H6O4,[M-H]-,-1,117.0193327,-1
moi,Succinate,C4H6O4,[M+Na-2H]-,-1,139.0012747,-1
moi,Sphingosine,C18H37NO2,[M+H]+,1,300.2897054,1
moi,Sphingosine,C18H37NO2,[M+Na]+,1,322.2716474,1
moi,Sphingosine,C18H37NO2,[M+NH4]+,1,317.3162524,1
moi,Sphingosine,C18H37NO2,[M-H]-,-1,298.2751534,-1
moi,Sphingosine,C18H37NO2,[M+Na-2H]-,-1,320.2570954,-1
moi,Spermine,C10H26N4,[M+H]+,1,203.2230229,1
moi,Spermine,C10H26N4,[M+Na]+,1,225.2049649,1
moi,Spermine,C10H26N4,[M+NH4]+,1,220.2495699,1
moi,Spermine,C10H26N4,[M-H]-,-1,201.2084709,-1
moi,Spermine,C10H26N4,[M+Na-2H]-,-1,223.1904129,-1
moi,Spermidine,C7H19N3,[M+H]+,1,146.1651736,1
moi,Spermidine,C7H19N3,[M+Na]+,1,168.1471156,1
moi,Spermidine,C7H19N3,[M+NH4]+,1,163.1917206,1
moi,Spermidine,C7H19N3,[M-H]-,-1,144.1506216,-1
moi,Spermidine,C7H19N3,[M+Na-2H]-,-1,166.1325636,-1
moi,Pyruvate,C3H4O3,[M+H]+,1,89.02331999,1
moi,Pyruvate,C3H4O3,[M+Na]+,1,111.005262,1
moi,Pyruvate,C3H4O3,[M+NH4]+,1,106.049867,1
moi,Pyruvate,C3H4O3,[M-H]-,-1,87.00876799,-1
moi,Pyruvate,C3H4O3,[M+Na-2H]-,-1,108.99071,-1
moi,Phytosphingosine,C18H39NO3,[M+H]+,1,318.3002701,1
moi,Phytosphingosine,C18H39NO3,[M+Na]+,1,340.2822121,1
moi,Phytosphingosine,C18H39NO3,[M+NH4]+,1,335.3268171,1
moi,Phytosphingosine,C18H39NO3,[M-H]-,-1,316.2857181,-1
moi,Phytosphingosine,C18H39NO3,[M+Na-2H]-,-1,338.2676601,-1
moi,Phosphoenolpyruvate,C3H5O6P,[M+H]+,1,168.9896509,1
moi,Phosphoenolpyruvate,C3H5O6P,[M+Na]+,1,190.9715929,1
moi,Phosphoenolpyruvate,C3H5O6P,[M+NH4]+,1,186.0161979,1
moi,Phosphoenolpyruvate,C3H5O6P,[M-H]-,-1,166.9750989,-1
moi,Phosphoenolpyruvate,C3H5O6P,[M+Na-2H]-,-1,188.9570409,-1
moi,Oxalosuccinate,C6H6O7,[M+H]+,1,191.0186285,1
moi,Oxalosuccinate,C6H6O7,[M+Na]+,1,213.0005705,1
moi,Oxalosuccinate,C6H6O7,[M+NH4]+,1,208.0451755,1
moi,Oxalosuccinate,C6H6O7,[M-H]-,-1,189.0040765,-1
moi,Oxalosuccinate,C6H6O7,[M+Na-2H]-,-1,210.9860185,-1
moi,Oxaloacetate,C4H4O5,[M+H]+,1,133.0131492,1
moi,Oxaloacetate,C4H4O5,[M+Na]+,1,154.9950912,1
moi,Oxaloacetate,C4H4O5,[M+NH4]+,1,150.0396962,1
moi,Oxaloacetate,C4H4O5,[M-H]-,-1,130.9985972,-1
moi,Oxaloacetate,C4H4O5,[M+Na-2H]-,-1,152.9805392,-1
moi,NADPH,C21H30N7O17P3,[M+H]+,1,746.0984,1
moi,NADPH,C21H30N7O17P3,[M+H-H2O]+,1,728.0878,1
moi,NADPH,C21H30N7O17P3,[M+NH4]+,1,763.125,1
moi,NADPH,C21H30N7O17P3,[M+Na]+,1,768.0804,1
moi,NADPH,C21H30N7O17P3,[M-H]-,-1,744.0838,-1
moi,NADPH,C21H30N7O17P3,[M+Na-2H]-,-1,766.0658,-1
moi,NADPH,C21H30N7O17P3,[M+HCOO]-,-1,790.0893,-1
moi,NADP+,C21H29N7O17P3,[M+H]+,1,745.0906,1
moi,NADP+,C21H29N7O17P4,[M+H-H2O]+,1,727.08,1
moi,NADP+,C21H29N7O17P5,[M+NH4]+,1,762.1172,1
moi,NADP+,C21H29N7O17P6,[M+Na]+,1,767.0726,1
moi,NADP+,C21H29N7O17P7,[M-H]-,-1,743.076,-1
moi,NADP+,C21H29N7O17P8,[M+Na-2H]-,-1,765.058,-1
moi,NADP+,C21H29N7O17P9,[M+HCOO]-,-1,789.0815,-1
moi,NADH,C21H27N7O14P2,[M+H]+,1,664.1163986,1
moi,NADH,C21H27N7O14P2,[M+Na]+,1,686.0983406,1
moi,NADH,C21H27N7O14P2,[M+NH4]+,1,681.1429456,1
moi,NADH,C21H27N7O14P2,[M-H]-,-1,662.1018466,-1
moi,NADH,C21H27N7O14P2,[M+Na-2H]-,-1,684.0837886,-1
moi,NAD+,C21H28N7O14P2,[M+H]+,1,665.1242236,1
moi,NAD+,C21H28N7O14P2,[M+Na]+,1,687.1061656,1
moi,NAD+,C21H28N7O14P2,[M+NH4]+,1,682.1507706,1
moi,NAD+,C21H28N7O14P2,[M-H]-,-1,663.1096716,-1
moi,NAD+,C21H28N7O14P2,[M+Na-2H]-,-1,685.0916136,-1
moi,Malate,C4H6O5,[M+H]+,1,135.0287993,1
moi,Malate,C4H6O5,[M+Na]+,1,157.0107413,1
moi,Malate,C4H6O5,[M+NH4]+,1,152.0553463,1
moi,Malate,C4H6O5,[M-H]-,-1,133.0142473,-1
moi,Malate,C4H6O5,[M+Na-2H]-,-1,154.9961893,-1
moi,L-Valine,C5H11NO2,[M+H]+,1,118.0862546,1
moi,L-Valine,C5H11NO2,[M+Na]+,1,140.0681966,1
moi,L-Valine,C5H11NO2,[M+NH4]+,1,135.1128016,1
moi,L-Valine,C5H11NO2,[M-H]-,-1,116.0717026,-1
moi,L-Valine,C5H11NO2,[M+Na-2H]-,-1,138.0536446,-1
moi,L-Tyrosine,C9H11NO3,[M+H]+,1,182.0811692,1
moi,L-Tyrosine,C9H11NO3,[M+H]+,1,182.0811692,1
moi,L-Tyrosine,C9H11NO3,[M+Na]+,1,204.0631112,1
moi,L-Tyrosine,C9H11NO3,[M+NH4]+,1,199.1077162,1
moi,L-Tyrosine,C9H11NO3,[M-H]-,-1,180.0666172,-1
moi,L-Tyrosine,C9H11NO3,[M-H]-,-1,180.0666172,-1
moi,L-Tyrosine,C9H11NO3,[M+Na-2H]-,-1,202.0485592,-1
moi,L-Tryptophan,C11H12N2O2,[M+H]+,1,205.0971536,1
moi,L-Tryptophan,C11H12N2O2,[M+Na]+,1,227.0790956,1
moi,L-Tryptophan,C11H12N2O2,[M+NH4]+,1,222.1237006,1
moi,L-Tryptophan,C11H12N2O2,[M-H]-,-1,203.0826016,-1
moi,L-Tryptophan,C11H12N2O2,[M+Na-2H]-,-1,225.0645436,-1
