Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
ymdb,(2)-Methylglutaric acid-p1,C6H10O4,[M-H]-,-1,145.0502,-1,126.3
ymdb,(4-hydroxyphenyl)pyruvic acid-p1,C9H8O4,[M-H]-,-1,179.0344,-1,147.1
ymdb,(R)-Mevalonic acid-p1,C6H12O4,[M-H]-,-1,147.0657,-1,129.0
ymdb,(R)-Pantothenic acid-p1,C9H17NO5,[M+H]+,1,220.118,1,129.8
ymdb,(R)-Pantothenic acid-p1,C9H17NO5,[M-H]-,-1,218.1038,-1,146.6
ymdb,2'-Deoxyadenosine-p1,C10H13N5O3,[M+H]+,1,252.1096,1,152.3
ymdb,2'-Deoxyadenosine-p2,C10H13N5O3,[M+H]+,1,252.1096,1,158.2
ymdb,2'-Deoxyadenosine-p1,C10H13N5O3,[M-H]-,-1,250.0944,-1,155.4
ymdb,2'-Deoxycytidine-p1,C9H13N3O4,[M-H]-,-1,226.0847,-1,149.1
ymdb,2'-Deoxyguanosine-p1,C10H13N5O4,[M-H]-,-1,266.0887,-1,159.2
ymdb,2-Aminobenzoic acid-p1,C7H7NO2,[M-H]-,-1,136.0416,-1,126.1
ymdb,2-Dehydro-D-gluconate-p1,C6H10O7,[M-H]-,-1,193.0348,-1,133.0
ymdb,2-Hydroxy-2-methylbutanedioic acid-p1,C5H8O5,[M-H]-,-1,147.0299,-1,123.1
ymdb,2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine-p1,C26H54NO7P,[M+H]+,1,524.3716,1,239.3
ymdb,2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine-p1,C26H54NO7P,[M-H]-,-1,522.3559,-1,230.8
ymdb,2-hydroxybutyric acid-p1,C4H8O3,[M-H]-,-1,103.0405,-1,120.5
ymdb,2-phospho-D-glyceric acid-p1,C3H7O7P,[M-H]-,-1,184.9845,-1,127.0
ymdb,"3',5'-cyclic AMP-p1",C10H12N5O6P,[M+H]+,1,330.0609,1,172.7
ymdb,"3',5'-cyclic AMP-p2",C10H12N5O6P,[M+H]+,1,330.0609,1,177.0
